month,token_price,monthly_revenue,annualized_revenue,active_operators,operators_t4_plus,customer_count_active,customer_count_total,customer_top_3_concentration_pct,customer_nrr_blended,customer_avg_satisfaction,circulating_supply,total_burned,total_staked,total_token_rewards_distributed,total_fiat_paid,node_count,node_utilization_avg,slash_rate,treasury_operator_pool_usd,treasury_reserves_usd,fiat_paid_ratio,earnings_gini,sentiment_state,era
1,0.999043,0,0,26,0,3,3,0.0,1.0,0.0,5531250,0,0,0,0,1,0.786,0.0,0,0,0.0,0.0,bull,bootstrap
2,0.996022,0,0,71,0,3,3,0.0,1.0,0.0,6062500,0,0,0,0,1,0.786,0.0,0,0,0.0,0.1634,bull,bootstrap
3,1.000094,2986,35832,152,0,3,3,100.0,1.0,0.0,6591967,1783,0,2819,0,1,0.786,0.0,836,358,0.001,0.5554,bull,bootstrap
4,1.000956,4906,58872,295,0,3,3,100.0,1.0,0.0,7120316,4684,0,4449,0,1,0.786,0.0,2210,947,0.002,0.6236,bull,bootstrap
5,1.002992,10633,127596,541,0,3,3,100.0,1.0,0.0,7645390,10860,0,9153,0,1,0.786,0.0133,5187,2223,0.006,0.6756,bull,bootstrap
6,0.968833,10638,127656,838,0,3,3,100.0,1.0,0.0,8170473,17027,117,9136,0,1,0.786,0.01,8166,3500,0.009,0.6632,bear,bootstrap
7,0.914884,15329,183948,1175,0,3,3,100.0,1.0,0.0,8692653,26097,376,13224,58,1,0.786,0.0425,12400,5339,0.013,0.6696,bear,bootstrap
8,0.834623,17064,204768,1574,0,3,3,100.0,1.0,0.0,9213281,36719,696,15292,109,1,0.786,0.0299,17069,7387,0.018,0.6691,bear,bootstrap
9,0.725655,17053,204636,1954,3,3,3,100.0,1.0,0.0,9732922,48328,1744,16649,139,2,0.393,0.0322,21704,9433,0.024,0.6625,bear,bootstrap
10,0.628702,23437,281244,2252,8,3,3,100.0,1.0,0.0,10246131,66369,3443,23048,312,2,0.393,0.0302,27955,12245,0.031,0.6632,bear,bootstrap
11,0.551278,31504,378048,2512,15,3,3,100.0,1.0,0.0,10750513,93237,5784,31095,616,2,0.393,0.0151,36160,16026,0.04,0.6699,bull,bootstrap
12,0.469048,31536,378432,2686,24,3,3,100.0,1.0,0.648,11251261,123739,10785,34938,769,2,0.393,0.0125,44221,19810,0.05,0.6725,bull,bootstrap
13,0.394596,31549,378588,2852,45,3,3,100.0,1.0,0.648,11746988,159262,18444,40094,918,2,0.393,0.01,52137,23596,0.059,0.6708,bull,bootstrap
