month,token_price,monthly_revenue,annualized_revenue,active_operators,operators_t4_plus,customer_count_active,customer_count_total,customer_top_3_concentration_pct,customer_nrr_blended,customer_avg_satisfaction,circulating_supply,total_burned,total_staked,total_token_rewards_distributed,total_fiat_paid,node_count,node_utilization_avg,slash_rate,treasury_operator_pool_usd,treasury_reserves_usd,fiat_paid_ratio,earnings_gini,sentiment_state,era
1,0.999043,0,0,26,0,3,3,0.0,1.0,0.0,5531250,0,0,0,0,1,0.786,0.0,0,0,0.0,0.0,bull,bootstrap
2,0.996022,0,0,71,0,3,3,0.0,1.0,0.0,6062500,0,0,0,0,1,0.786,0.0,0,0,0.0,0.1634,bull,bootstrap
3,1.000094,2986,35832,152,0,3,3,100.0,1.0,0.0,6591967,1783,0,2819,0,1,0.786,0.0,836,358,0.001,0.5554,bull,bootstrap
4,1.000956,4906,58872,295,0,3,3,100.0,1.0,0.0,7120316,4684,0,4449,0,1,0.786,0.0,2210,947,0.002,0.6236,bull,bootstrap
5,1.002992,10633,127596,541,0,3,3,100.0,1.0,0.0,7645390,10860,0,9153,0,1,0.786,0.0133,5187,2223,0.006,0.6756,bull,bootstrap
6,0.969563,10638,127656,838,0,3,3,100.0,1.0,0.0,8170473,17027,468,9136,0,1,0.786,0.01,8166,3500,0.009,0.6632,bear,bootstrap
7,0.917641,15329,183948,1175,0,3,3,100.0,1.0,0.0,8692660,26090,1504,13215,58,1,0.786,0.0425,12400,5339,0.013,0.6695,bear,bootstrap
8,0.839838,17064,204768,1574,0,3,3,100.0,1.0,0.0,9213319,36681,2780,15248,109,1,0.786,0.0299,17069,7387,0.018,0.6688,bear,bootstrap
9,0.734468,17053,204636,1942,3,3,3,100.0,1.0,0.0,9733030,48220,5985,16551,139,2,0.393,0.0322,21704,9433,0.024,0.6615,bear,bootstrap
10,0.643602,23468,281616,2223,7,3,3,100.0,1.0,0.0,10246543,65957,9547,22789,312,2,0.393,0.0239,27964,12249,0.031,0.6576,bear,bootstrap
11,0.564624,29281,351372,2364,12,3,3,100.0,1.0,0.0,10753145,90605,15011,29423,557,2,0.393,0.0134,35605,15763,0.039,0.6544,bear,bootstrap
12,0.482279,29254,351048,2489,23,3,3,100.0,1.0,0.814,11256427,118573,23923,33069,687,2,0.393,0.0161,43109,19273,0.048,0.6499,bear,bootstrap
13,0.413424,33736,404832,2644,30,3,3,100.0,1.0,0.726,11750800,155450,28458,41117,1010,2,0.393,0.0133,51545,23322,0.058,0.6619,bull,bootstrap
